module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
yenmay,_meta,Yen May Vintage BMad Catalog,META,"Project-specific catalog for launching and operating Yen May Vintage across 5 channels: Facebook, Instagram, TikTok, Threads, and Google Maps. PDF is the brand source of truth; marketing plan is execution context; evaluation document is critique and risk-control context.",,,anytime,,,false,_bmad/catalog,README.md
yenmay,brand,Brand Foundation,BR,"Lock the Yen May brand foundation from the PDF: gu tham my, warm neutrals, curated identity, audience, voice, visual rules, and non-negotiables.",,,1-foundation,,content-strategy,true,_bmad/outputs,brand-foundation.md
yenmay,content-strategy,Content Strategy,CS,"Translate the marketing plan into channel pillars, keyword phases, recurring series, and a 12-week editorial direction.",,,2-strategy,brand,social,true,_bmad/outputs,content-strategy.md
yenmay,social,Agency Production Brief,AB,"Create the practical agency brief for the first shoot: 5-video order, shot list, prep checklist, tone references, keyword overlays, and 4-hour shoot structure.",,,3-launch,content-strategy,social,true,_bmad/outputs,agency-production-brief.md
yenmay,social,Review Agency Brief - Social,RAB-SOC,"Review agency-production-brief.md for social execution feasibility: platform fit, shot list clarity, posting workflow, cross-posting, agency handoff, and whether the brief prevents generic fashion-shop content.",review,"_bmad/outputs/agency-production-brief.md",3-launch-review,social,marketing-psychology,false,_bmad/outputs,agency-production-brief.review-social.md
yenmay,marketing-psychology,Review Agency Brief - Psychology,RAB-PSY,"Review agency-production-brief.md for buyer psychology and conversion: friction, proof, urgency, trust, CTA clarity, Vietnamese DM buyer path, foreign visitor path, and ethical scarcity.",review,"_bmad/outputs/agency-production-brief.md",3-launch-review,social,copywriting,false,_bmad/outputs,agency-production-brief.review-psychology.md
yenmay,copywriting,Review Agency Brief - Copy,RAB-COPY,"Review and sharpen agency-production-brief.md hooks, CTAs, captions, overlays, DM prompts, and wording so the agency can execute clear conversion-focused content.",review,"_bmad/outputs/agency-production-brief.md",3-launch-review,marketing-psychology,bmad-review-adversarial-general,false,_bmad/outputs,agency-production-brief.review-copy.md
yenmay,bmad-review-adversarial-general,Adversarial Review Agency Brief,RAB-ADV,"Optional hard review of agency-production-brief.md: identify failure modes, ambiguous instructions, missing responsibilities, execution risks, and ways the agency could misinterpret the brief.",review,"_bmad/outputs/agency-production-brief.md",3-launch-review,copywriting,social,false,_bmad/outputs,agency-production-brief.review-adversarial.md
yenmay,social,Social Launch Plan,SC,"Create the 5-channel launch calendar for Facebook, Instagram, TikTok, Threads, and Google Maps: posts, reels, hooks, captions, stories, highlights, maps updates, retention loops, and channel-specific CTAs.",,,3-launch,social,image,true,_bmad/outputs,social-launch-plan.md
yenmay,image,Visual Asset Plan,IMG,"Choose and brief avatar, cover photo, post templates, product visuals, story highlights, and image usage from the existing Yen May Store assets.",,,3-launch,brand,copywriting,false,_bmad/outputs,visual-asset-plan.md
yenmay,copywriting,Page Copy,CW,"Write the Facebook bio, about section, CTA, intro post, DM quick replies, Google Maps description, TripAdvisor description, and KOL DM template.",,,3-launch,brand,analytics,true,_bmad/outputs,page-copy.md
yenmay,analytics,Measurement Plan,AN,"Define KPIs and tracking routines for keyword rank, reach, saves, DM inquiries, follower growth, reviews, footfall, and boost thresholds.",,,4-measurement,social,ads,true,_bmad/outputs,measurement-plan.md
yenmay,ads,Meta Ads Plan,ADS,"Plan paid boosting only after organic validation: audience, budget, post selection criteria, radius targeting, and campaign guardrails.",,,5-growth,analytics,ad-creative,false,_bmad/outputs,meta-ads-plan.md
yenmay,ad-creative,Ad Creative Variations,AC,"Generate Meta ad copy and creative variations for posts that pass organic thresholds, especially Y2K Da Nang and hidden alley discovery angles.",,,5-growth,ads,,false,_bmad/outputs,ad-creative-variations.md
